titre,date,genre,duree,realisateur,distributeur,acteurs,nationalites,langue_d_origine,type_film,annee_production,nombre_article,description,film_id_allocine,image,boxoffice
Les Chevaliers blancs,2016-01-20,Drame,112,Joachim Lafosse,Le Pacte,"Vincent Lindon,Louise Bourgoin,Valérie Donzelli",France,Français,Long-métrage,2015,24,"Jacques Arnault, président de l’ONG ""Move for kids"", a convaincu des familles françaises en mal d’adoption de financer une opération d'exfiltration d'orphelins d’un pays d’Afrique dévasté par la guerre. Entouré d’une équipe de bénévoles dévoués à sa cause, il a un mois pour trouver 300 enfants en bas âge et les ramener en France. Mais pour réussir, il doit persuader ses interlocuteurs africains et les chefs de village qu’il va installer un orphelinat et assurer un avenir sur place à ces jeunes victimes de guerre, dissimulant le but ultime de son expédition...",216917,https://fr.web.img3.acsta.net/c_310_420/pictures/15/12/01/09/05/431755.jpg,96619
Paris-Willouby,2016-01-20,Comédie dramatique,83,Quentin Reynaud,Mars Films,"Isabelle Carré,Stéphane De Groodt,Alex Lutz",France,Français,Long-métrage,2015,18,"Les Guilby Lacourt forment une famille recomposée typique de notre époque. Entre père, belle-mère, petite sœur, frère, demi-sœur, ou encore demi-oncle, ils ont parfois du mal à s’y retrouver ! Un soir, ils apprennent la mort d'un grand-père avec qui ils ont coupé les ponts depuis une dizaine d'années. Fatalement voués à cohabiter le temps d'un long voyage pour se rendre à son enterrement, ils vont tous très vite devoir s'adapter au concept du ""vivre ensemble"" dans l'espace exigu de la voiture familiale. Pour le meilleur et pour le pire !",231701,https://fr.web.img6.acsta.net/c_310_420/pictures/15/11/20/17/56/144527.jpg,64322
The Boy,2016-01-27,Epouvante-horreur,97,William Brent Bell,Metropolitan FilmExport,"Lauren Cohan,Rupert Evans,Ben Robson",U.S.A.,Anglais,Long-métrage,2016,8,"Pour essayer d’échapper à son passé, Greta, une jeune Américaine, se fait engager comme assistante maternelle en Angleterre, dans une maison perdue en pleine campagne. À son arrivée, elle découvre qu’elle a été embauchée non pas pour s’occuper d’un petit garçon de 8 ans en chair et en os, mais d’une poupée de porcelaine grandeur nature. Seule dans la maison, loin de tout, Greta assiste à des événements tous plus étranges les uns que les autres. La poupée serait-elle vivante ? Il se trouve que Greta n’a pas seulement été engagée, elle a été choisie…",235019,https://fr.web.img5.acsta.net/c_310_420/pictures/16/01/05/14/26/192874.jpg,174621
Le Chanteur,2016-01-27,Drame,100,Rémi Lange,Destiny Films,"Thomas Polly,Thérèse Lanfranca,Annie Alba",France,Français,Long-métrage,2015,8,"A la mort de sa mère, Thomas décide de s'affranchir d'une famille qui l'étouffe et d'une province qui le sclérose. Son but depuis toujours : devenir chanteur comme dans les comédies musicales qui ont bercé son enfance. Avec sa guitare, sa rage de vaincre et ses illusions pour seuls bagages, il débarque à Paris. Là, la réalité des choses s'offre violemment à lui. Mais, à force de rencontres et d'expériences, il entreprend un double voyage initiatique : professionnel et également... personnel.",239755,https://fr.web.img4.acsta.net/c_310_420/pictures/15/12/18/09/53/479931.jpg,75
Tout en haut du monde,2016-01-27,Animation,81,Rémi Chayé,Diaphana Distribution,"Christa Théret,Féodor Atkine,Thomas Sagols",France,Français,Long-métrage,2015,127,"1882, Saint-Pétersbourg.",213641,https://fr.web.img6.acsta.net/c_310_420/pictures/15/11/10/15/36/414149.jpg,41340
Koan de Printemps,2016-01-27,Aventure_Drame,74,Marc-Olivier Louveau,11 Décembre,"Jim-Adhi Limas,Chiu Fang-Hsuang,Tapa Sudana",Corée du Sud,Anglais,Long-métrage,2014,6,"Maître Truong, le vieux Maître d'armes de l'empereur, arrive à la fin de sa vie et n'a toujours pas trouvé son successeur. Le pays devant se préparer à la guerre, l'empereur s'impatiente et lui donne quinze jours pour le trouver, sous peine de représailles. Maître Truong se rend alors chez un illustre général qui avait disparu pour devenir simple pêcheur : Maître Wing. Il vit avec ses deux fils (Tin et Tan) et sa fille (Lan, le visage défiguré) sur les rives du lac Ba Bê ; un lac dont Maître Truong connaît bien la légende pour l'avoir entendu enfant. Mais ce qu'il ne sait pas, c'est que cette fois, il va en saisir réellement le sens. Il apprend à Maître Wing qu'il est venu mettre ses deux fils à l'épreuve dont on lui a vivement vanté les mérites. Déçu par leur résultat, il fait aussi passer l’examen à Lan, qui n'est pas à priori une pratiquante de haut niveau. C'est pourtant elle que Maître Truong choisit. Il a enfin trouvé celle qui avait toutes les qualités requises pour lui succéder. Mais, encore une fois, les choses ne seront pas aussi simples. De retour au palais, Maître Truong se présente sans un successeur. Mais il revient avec quelque chose de bien plus précieux.",226648,https://fr.web.img4.acsta.net/c_310_420/pictures/16/01/06/16/10/575764.jpg,298
Spotlight,2016-01-27,Drame_Policier,128,Tom McCarthy,Warner Bros. France,"Michael Keaton,Mark Ruffalo,Rachel McAdams",U.S.A.,Anglais,Long-métrage,2015,24,"Adapté de faits réels, Spotlight retrace la fascinante enquête du",222271,https://fr.web.img2.acsta.net/c_310_420/pictures/16/01/21/16/04/118433.jpg,198197
Experimenter,2016-01-27,Biopic_Drame_Historique,102,Michael Almereyda,Septième Factory,"Peter Sarsgaard,Winona Ryder,Jim Gaffigan",U.S.A.,Anglais,Long-métrage,2015,15,"En 1961, à l'Université de Yale, le professeur de psychologie Stanley Milgram conduit une expérience sur la question de la soumission à l'autorité qui deviendra la célèbre ""Expérience de Milgram"". Très vite les résultats de ses recherches et les méthodes employées dérangent et déclenchent une vive polémique. Dénigré par certains,admiré par d'autres, le scientifique affronte la tourmente.",230007,https://fr.web.img3.acsta.net/c_310_420/pictures/16/01/04/10/15/546531.jpg,3216
Les Délices de Tokyo,2016-01-27,Comédie_Drame,113,Naomi Kawase,Haut et Court,"Kiki Kirin,Masatoshi Nagase,Kyara Uchida",France,Japonais,Long-métrage,2015,23,"Les dorayakis sont des pâtisseries traditionnelles japonaises qui se composent de deux pancakes fourrés de pâte de haricots rouges confits, « AN ».",235589,https://fr.web.img5.acsta.net/c_310_420/pictures/15/11/09/16/14/007270.jpg,67743
Mysterious object at noon,2016-01-27,Drame_Expérimental,83,Apichatpong Weerasethakul,Les Bookmakers / Capricci Films,"Kongkiat Khomsiri,Saisiri Xoomsai,Somsri Pinyopol",Thaïlande,Thaï,Long-métrage,2000,12,"Sillonnant la campagne thaïlandaise, une équipe de tournage demande aux personnes rencontrées en chemin de prendre la parole devant la caméra. Sur le principe du cadavre exquis, chacun invente successivement les péripéties d'un conte étrange. Celui d'un garçon infirme qui découvre un beau jour son institutrice évanouie et une mystérieuse boule sur le plancher. La boule se métamorphose et prend soudain les traits d'un petit garçon...",38890,https://fr.web.img4.acsta.net/c_310_420/pictures/15/12/15/12/27/259241.jpg,1236
"Les Premiers, les Derniers",2016-01-27,Comédie_Drame,97,Bouli Lanners,Wild Bunch Distribution,"Albert Dupontel,Bouli Lanners,Suzanne Clément",France,Français,Long-métrage,2016,21,"Dans une plaine infinie balayée par le vent, Cochise et Gilou, deux inséparables chasseurs de prime, sont à la recherche d’un téléphone volé au contenu sensible. Leur chemin va croiser celui d’Esther et Willy, un couple en cavale.",231779,https://fr.web.img6.acsta.net/c_310_420/pictures/16/01/14/17/22/089470.jpg,38665
La 5ème vague,2016-01-27,Aventure_Science fiction,112,J Blakeson,Sony Pictures Releasing France,"Chloë Grace Moretz,Nick Robinson,Alex Roe",U.S.A.,Anglais,Long-métrage,2016,13,"Quatre vagues d’attaques, chacune plus mortelle que la précédente, ont décimé la presque totalité de la Terre. Terrifiée, se méfiant de tout, Cassie est en fuite et tente désespérément de sauver son jeune frère. Alors qu’elle se prépare à affronter la cinquième vague, aussi inévitable que fatale, elle va faire équipe avec un jeune homme qui pourrait bien représenter son dernier espoir – si toutefois elle peut lui faire confiance…",204646,https://fr.web.img6.acsta.net/c_310_420/pictures/15/10/23/14/52/531725.jpg,428597
All Eyez On Me,2016-02-01,Biopic_Drame_Musical,140,Benny Boom,Netflix France,"Demetrius Shipp Jr.,Danai Gurira,Kat Graham",U.S.A.,Anglais,Long-métrage,2017,39,,182423,https://fr.web.img6.acsta.net/c_310_420/pictures/17/03/02/11/10/280357.jpg,26435354
Le Grand jour,2016-02-01,Comédie dramatique,100,Aaron Schneider,-,"Robert Duvall,Bill Murray,Lucas Black",U.S.A.,Anglais,Long-métrage,2009,39,,143199,https://fr.web.img4.acsta.net/c_310_420/medias/nmedia/18/72/59/81/19171022.jpg,234000
Chocolat,2016-02-03,Biopic_Drame,120,Roschdy Zem,Gaumont Distribution,"Omar Sy,James Thiérrée,Thibault de Montalembert",France,Français,Long-métrage,2016,28,"Du cirque au théâtre, de l'anonymat à la gloire, l'incroyable destin du clown Chocolat, premier artiste noir de la scène française. Le duo inédit qu'il forme avec Footit, va rencontrer un immense succès populaire dans le Paris de la Belle époque avant que la célébrité, l'argent facile, le jeu et les discriminations n'usent leur amitié et la carrière de Chocolat. Le film retrace l'histoire de cet artiste hors du commun.",217656,https://fr.web.img5.acsta.net/c_310_420/pictures/15/11/26/10/23/257450.jpg,603737
Dirty Papy,2016-02-03,Comédie,102,Dan Mazer,Metropolitan FilmExport,"Robert De Niro,Zac Efron,Aubrey Plaza",U.S.A.,Anglais,Long-métrage,2016,11,"Jason Kelly, avocat un peu coincé, s'apprête à épouser la fille autoritaire de son patron. Autant dire qu'il est désormais bien parti pour devenir associé au sein du cabinet… Mais c'est sans compter sur son grand-père Dick, vieil obsédé sexuel, qui le convainc de l'accompagner en Floride pour quelques jours de vacances. Soudain, Jason voit la perspective de son mariage remise en question. Car son grand-père entend profiter de la vie au maximum et embarquer son petit-fils dans ses aventures rocambolesques. Du coup, entre les soirées arrosées, les bagarres dans les bars et une folle nuit passée au karaoké, Jason découvre des plaisirs de l'existence qu'il ne soupçonnait pas, tandis que Dick s'attache à ce garçon qu'il ne connaissait presque pas…",191193,https://fr.web.img4.acsta.net/c_310_420/pictures/16/01/15/10/05/232092.jpg,126264
Mini et les voleurs de miel,2016-02-03,Animation_Famille,75,Jannik Hastrup,Les Films du Préau,"Jacob Alwan Salling,Mona Alenius Kaniewski,Fabian August Harlang",Danemark,Danois,Long-métrage,2015,10,"Pour célébrer leur retour, Mini le petit scarabée et ses amis du cirque donnent un spectacle devant tout le village. Malencontreusement, Malencontreusement, Mini fait tomber la belle acrobate qui dansait sur un fil. Honteux, il s'enfuit dans le bois aux frênes où il rencontre alors un bande d'insectes punk qui va se servir de lui pour voler du miel...",234104,https://fr.web.img4.acsta.net/c_310_420/pictures/16/01/05/12/52/457797.jpg,1730
Point Break,2016-02-03,Action,113,Ericson Core,SND,"Édgar Ramírez,Luke Bracey,Ray Winstone",U.S.A.,Anglais,Long-métrage,2015,4,"Une série de braquages spectaculaires aux quatre coins du monde met en péril l’équilibre des marchés financiers. Les criminels opèrent aussi bien en motos dans des gratte-ciels new yorkais qu’en « wingsuits » pour s’échapper d’avions au-dessus de la jungle. Johnny Utah, une ancienne légende du moto-cross devenue agent du FBI, va devoir infiltrer le groupe de sportifs de l’extrême que l’on soupçonne d’être à l’origine de ces sidérants braquages. Pour gagner leur confiance, Utah affronte des défis insensés, du surf au snowboard en passant par la chute libre ou l’escalade à mains nues. Alors qu’il pense avoir identifié le cerveau des braquages, il se retrouve entrainé contre son gré dans les activités criminelles du groupe dopé à l’adrénaline…",197379,https://fr.web.img6.acsta.net/c_310_420/pictures/16/01/12/15/37/478855.jpg,262725
Les Tuche 2 - Le rêve américain,2016-02-03,Comédie,94,Olivier Baroux,Pathé,"Jean-Paul Rouve,Isabelle Nanty,Claire Nadeau",France,Français,Long-métrage,2015,13,"À l’occasion de l’anniversaire de « coin-coin », le benjamin de la fratrie, la famille Tuche part le retrouver aux États-Unis : les choses ne vont pas se passer comme prévu, mais alors pas du tout.",231178,https://fr.web.img3.acsta.net/c_310_420/pictures/15/11/30/15/05/193488.jpg,1502557
Préjudice,2016-02-03,Drame,105,Antoine Cuypers,Les Films du Losange,"Nathalie Baye,Arno Hintjens,Thomas Blanchard",Belgique,Français,Long-métrage,2015,16,"Lors d’un repas de famille, Cédric, la trentaine, vivant toujours chez ses parents, apprend que sa soeur attend un enfant. Alors que tout le monde se réjouit de cette nouvelle, elle provoque chez lui un ressentiment qui va se transformer en fureur. Il tente alors d’établir, aux yeux des autres, le préjudice dont il se sent victime depuis toujours.",234315,https://fr.web.img5.acsta.net/c_310_420/pictures/15/12/15/09/33/271728.jpg,14340
Faire l'Amour,2016-02-03,Comédie dramatique,119,Djinn Carrenard,Donoma Guerilla," Maha,Laurette Lalande,Despo Rutti Azu",France,Français,Long-métrage,2014,5,,228464,https://fr.web.img3.acsta.net/c_310_420/pictures/16/01/21/16/06/105049.jpg,230
La Terre et l'ombre,2016-02-03,Drame,97,César Acevedo,Pyramide Distribution,"Haimer Leal,Hilda Ruiz,Edison Raigosa",Colombie,Espagnol,Long-métrage,2015,24,,237269,https://fr.web.img4.acsta.net/c_310_420/pictures/15/12/17/15/43/139034.jpg,14174
La Marcheuse,2016-02-03,Drame_Thriller,80,Naël Marandin,Rezo Films,"Qiu Lan,Yannick Choirat,Louise Chen",France,Français,Long-métrage,2015,14,"Lin Aiyu, clandestine chinoise, se prostitue dans les rues de Belleville. Elle habite avec sa fille adolescente, à qui elle cache son activité. Leur vie bascule lorsqu'un soir, un inconnu, blessé, pénètre brutalement chez elles. Tantôt ravisseur, tantôt prisonnier, l'homme s’impose comme une menace et une chance à saisir…",235872,https://fr.web.img6.acsta.net/c_310_420/pictures/15/09/25/10/42/114515.jpg,4421
Grandma,2016-02-08,Comédie_Drame_Famille,79,Paul Weitz,Sony Pictures Home Entertainment,"Lily Tomlin,Julia Garner,Marcia Gay Harden",U.S.A.,Anglais,Long-métrage,2015,10,"Une vieille poète apprend que sa petite fille de dix-huit ans est enceinte. Toutes deux entament alors un voyage, pour se réconcilier avec leur passé douloureux.",54093,https://fr.web.img6.acsta.net/c_310_420/pictures/16/02/01/16/52/099877.jpg,1501101
Peur De Rien,2016-02-10,Drame,120,Danielle Arbid,Ad Vitam,"Manal Issa,Vincent Lacoste,Paul Hamy",France,Français,Long-métrage,2015,25,"Les années 90. Lina, 18 ans, débarque à Paris pour ses études. Elle vient chercher ce qu’elle n’a jamais trouvé au Liban, son pays d’origine : une certaine forme de liberté. L’instinct de survie comme seul bagage, elle vogue d’un Paris à l’autre au rythme de ses rencontres amoureuses. Parce qu’à 18 ans, on rêve d’embrasser le monde et pas qu’un seul garçon...",221929,https://fr.web.img4.acsta.net/c_310_420/pictures/16/01/14/16/42/291093.jpg,20660
A une heure incertaine,2016-02-10,Drame,75,Carlos Saboga,Alfama Films,"Joana Ribeiro,Paulo Pires,Judith Davis",Portugal,Français,Long-métrage,2015,12,"1942. Dans le Portugal de Salazar, deux réfugiés Français suspects, Boris et Laura, sont arrêtés. L’inspecteur Vargas, séduit par la jeune femme, décide de les cacher chez lui : un hôtel désert où il vit avec sa fille Ilda et sa femme gravement malade. Ilda découvre leur présence et, rongée par la jalousie, s’attache à les faire disparaître coûte que coûte…",240927,https://fr.web.img6.acsta.net/c_310_420/pictures/15/12/07/09/27/162294.jpg,851
Heidi,2016-02-10,Aventure_Famille,106,Alain Gsponer,StudioCanal,"Anuk Steffen,Bruno Ganz,Isabelle Ottmann",Suisse,Allemand,Long-métrage,2015,15,"Heidi, une jeune orpheline, part vivre chez son grand-père dans les montagnes des Alpes suisses. D'abord effrayée par ce vieil homme solitaire, elle apprend vite à l'aimer et découvre la beauté des alpages avec Peter, son nouvel ami. Mais la tante d'Heidi, estimant quil ne s'agit pas là d'une éducation convenable, place la fillette dans une riche famille de la ville. Heidi va-t-elle supporter cette vie, loin de la montagne et de son grand-père ?",229969,https://fr.web.img5.acsta.net/c_310_420/pictures/15/12/11/14/18/068411.jpg,262095
Les Innocentes,2016-02-10,Drame_Historique,115,Anne Fontaine,Mars Films,"Lou de Laâge,Vincent Macaigne,Agata Buzek",France,Français,Long-métrage,2015,24,"Pologne, décembre 1945.",231540,https://fr.web.img6.acsta.net/c_310_420/pictures/15/12/24/09/31/213105.jpg,182733
Deadpool,2016-02-10,Action_Comédie,108,Tim Miller,Twentieth Century Fox France,"Ryan Reynolds,Morena Baccarin,Ed Skrein",U.S.A.,Anglais,Long-métrage,2016,22,"Deadpool, est l'anti-héros le plus atypique de l'univers Marvel. A l'origine, il s'appelle Wade Wilson : un ancien militaire des Forces Spéciales devenu mercenaire. Après avoir subi une expérimentation hors norme qui va accélérer ses pouvoirs de guérison, il va devenir Deadpool. Armé de ses nouvelles capacités et d'un humour noir survolté, Deadpool va traquer l'homme qui a bien failli anéantir sa vie.",146349,https://fr.web.img2.acsta.net/c_310_420/pictures/16/01/19/16/49/249124.jpg,1575661
Joséphine s'arrondit,2016-02-10,Comédie,94,Marilou Berry,UGC Distribution,"Marilou Berry,Mehdi Nebbou,Medi Sadoun",France,Français,Long-métrage,2015,10,"Depuis deux ans, Gilles (homme-parfait-non-fumeur-bon-cuisinier-qui aime-les-chats) et Joséphine (fille-attachiante-bordélique-mais-sympathique) s’aiment. Tout est parfait. Jusqu'à une nouvelle inattendue : ils seront bientôt trois. Ne pas devenir comme sa mère, garder son mec et devenir une adulte responsable, tout un tas d'épreuves que Joséphine va devoir affronter, avec Gilles... à leur manière.",231740,https://fr.web.img6.acsta.net/c_310_420/pictures/15/12/16/09/11/091367.jpg,390145
Alaska,2016-02-10,Drame_Romance,125,Claudio Cupellini,Bellissima Films,"Elio Germano,Astrid Bergès-Frisbey,Valerio Binasco",Italie,Italien,Long-métrage,2015,12,"Fausto est italien, mais il vit à Paris et travaille comme serveur dans un grand hôtel. Nadine est une jeune Française de 20 ans, à la fois fragile et déterminée. Lorsque les deux jeunes gens se rencontrent par hasard sur un toit, ils se reconnaissent : fragiles, seuls et obsédés par une idée du bonheur qui semble inatteignable. Ils ne soupçonnent pas encore qu’ils vont s’aimer, se perdre, souffrir, se retrouver.",241393,https://fr.web.img2.acsta.net/c_310_420/pictures/15/12/21/15/23/592975.jpg,5079
Peace to Us in Our Dreams,2016-02-10,Drame,107,Sharunas Bartas,Norte Distribution,"Ina Marija Bartaité,Lora Kmieliauskaite,Sharunas Bartas",France,Lituanien,Long-métrage,2015,12,"Un père, sa fille et sa compagne se rendent dans leur maison de campagne pour le weekend. Au coeur d’une nature resplendissante, partagée entre forêts et lacs, d’étranges voisins troublent l’harmonie qu’ils sont venus chercher. Aux alentours, un jeune garçon erre avec son chien et trouve bientôt, à la lisière du bois, un fusil de chasse.",237313,https://fr.web.img3.acsta.net/c_310_420/pictures/16/01/07/14/32/158958.jpg,2493
Un Soleil froid en été,2016-02-17,Drame,60,Mathieu Gari,Les Films de l'Envers,"Paulina Veltina,Júlia Ferré,Eli Piz",Espagne,Espagnol,Long-métrage,2015,5,2048. Il ne s'agit pas de l'histoire d'une femme des temps lointains.,240938,https://fr.web.img6.acsta.net/c_310_420/pictures/15/09/14/09/34/504806.jpg,14
Zootopie,2016-02-17,Animation_Comédie_Famille,108,Byron Howard,The Walt Disney Company France,"Marie-Eugénie Maréchal,Ginnifer Goodwin,Alexis Victor",U.S.A.,Anglais,Long-métrage,2016,970,,223207,https://fr.web.img4.acsta.net/c_310_420/o_club-allocine-310x420.png_0_se/pictures/15/12/11/14/34/280851.jpg,1556396
"Ave, César!",2016-02-17,Comédie musicale_Comédie_Policier,100,Joel Coen,Universal Pictures International France,"Josh Brolin,George Clooney,Alden Ehrenreich",U.S.A.,Anglais,Long-métrage,2016,28,"La folle journée d’Eddie Mannix va nous entraîner dans les coulisses d’un grand studio Hollywoodien. Une époque où la machine à rêves turbinait sans relâche pour régaler indifféremment ses spectateurs de péplums, de comédies musicales, d’adaptations de pièces de théâtre raffinées, de westerns ou encore de ballets nautiques en tous genres. Eddie Mannix est fixer chez Capitole, un des plus célèbres Studios de cinéma américain de l’époque. Il y est chargé de régler tous les problèmes inhérents à chacun de leurs films. Un travail qui ne connaît ni les horaires, ni la routine. En une seule journée il va devoir gérer aussi bien les susceptibilités des différentes communautés religieuses, pour pouvoir valider leur adaptation de la Bible en Technicolor, que celles du très précieux réalisateur vedette Laurence Laurentz qui n’apprécie que modérément qu’on lui ait attribué le jeune espoir du western comme tête d’affiche de son prochain drame psychologique.",225859,https://fr.web.img6.acsta.net/c_310_420/pictures/16/01/07/17/12/562676.jpg,368023
La vache,2016-02-17,Comédie,91,Mohamed Hamidi,Pathé,"Fatsah Bouyahmed,Lambert Wilson,Jamel Debbouze",France,Français,Long-métrage,2016,26,"Fatah, petit paysan Algérien n’a d’yeux que pour sa vache Jacqueline, qu'il rêve d'emmener à Paris, au salon de l'Agriculture. Lorsqu'il reçoit la précieuse invitation devant tout son village ébahi, lui qui n’a jamais quitté sa campagne, prend le bateau direction Marseille pour traverser toute la France à pied, direction Porte de Versailles.",236418,https://fr.web.img6.acsta.net/c_310_420/pictures/16/01/22/09/18/075208.jpg,338745
Beira-Mar ou l'âge des premières fois,2016-02-17,Drame,84,Filipe Matzembacher,Epicentre Films,"Mateus Almada,Maurício José Barcellos,Elisa Brites",Brésil,Portugais,Long-métrage,2015,14,"C’est l’hiver au Brésil. Lorsque Martin doit rejoindre le littoral et rencontrer pour la première fois la famille de son père, il propose à son meilleur ami de l’accompagner. Tomaz accepte, voyant ce séjour comme l’occasion de raviver leur amitié. Dans cette maison faisant face à une mer froide et déchainée, les deux adolescents passent leurs journées ensemble, à l’écart du monde. Sur fond de quête identitaire et d’attraction mutuelle, ils vont découvrir le doute, la jalousie et l’amour.",234707,https://fr.web.img6.acsta.net/c_310_420/commons/v9/common/empty/empty_portrait.png,1201
Amis publics,2016-02-17,Comédie,98,Edouard Pluvieux,La Belle Company,"Kev Adams,Vincent Elbaz,Paul Bartel (II)",France,Français,Long-métrage,2015,9,"Afin de réaliser le rêve de son jeune frère malade, Léo et leurs meilleurs potes organisent un faux braquage… mais le jour J, ils se trompent de banque. Le faux braquage devient un vrai hold-up. Commence alors l’aventure extraordinaire des Amis Publics !",236089,https://fr.web.img6.acsta.net/c_310_420/pictures/16/02/25/16/49/430136.jpg,404366
La Chambre d'en face,2016-02-17,Drame_Romance,91,Michael Noer,ASC Distribution,"Ghita Norby,Sven Wollter,Trine Pallesen",Danemark,Danois,Long-métrage,2015,9,"Lily et Max sont mariés depuis plus de 50 ans. Ils vivent désormais tous les deux dans une maison de retraite, car Max a besoin d’une assistance médicale constante depuis son attaque cérébrale. Lily a mis ses envies de côté, pour être auprès de son époux. Quand un homme surnommé ""Le pilote"" emménage dans la chambre d’en face, Lily tombe très vite sous son charme et son appétit de la vie. Mais sa famille et les résidents voient cette nouvelle relation d’un mauvais oeil. Incomprise par ses enfants et se sentant prisonnière de sa vie avec Max, Lily décide de s’évader de cette prison invisible et d’afficher sa liberté.",234714,https://fr.web.img6.acsta.net/c_310_420/pictures/15/11/16/15/45/590126.jpg,1350
"Mon sac est prêt, mes pompes aussi",2016-02-17,Drame,90,Jeanne Quibel,Cinéma Saint-André des Arts,"Charlie Clé,Thomas Grandsire,Julie Michel",France,Français,Long-métrage,2015,0,Cinq “enfants perdus” unis par le même rêve laissent leur douloureux passé derrière eux et roulent vers un plus bel avenir. Mais leur camping-car tombe en panne et la réalité reprend ses droits : les voilà arrêtés de force sur l'aire du Vieil Etienne…,244353,https://fr.web.img5.acsta.net/c_310_420/pictures/16/01/15/16/28/166799.jpg,28
"Un jour avec, un jour sans",2016-02-17,Drame,121,Hong Sang-Soo,Les Acacias,"Jae-yeong Jeong,Kim Min-Hee,Yuh-Jung Youn",Corée du Sud,Coréen,Long-métrage,2015,20,"Le réalisateur Ham Cheonsoo arrive un jour trop tôt dans la ville de Suwon, où il a été invité à parler de son oeuvre. Il profite de cette journée d’attente pour visiter un palais de la ville. Il y rencontre Yoon Heejeong, une artiste locale avec laquelle il va discuter, dîner, boire… Mais il n’est pas tout à fait honnête avec Yoon Heejeong.",239537,https://fr.web.img6.acsta.net/c_310_420/pictures/16/01/26/14/36/389383.jpg,14002
Pattaya,2016-02-24,Comédie,97,Franck Gastambide,Gaumont Distribution,"Franck Gastambide,Malik Bentalha,Anouar Toubali",France,Français,Long-métrage,2016,20,"Franky et Krimo rêvent de quitter la grisaille de leur quartier pour partir en voyage dans la célèbre et sulfureuse station balnéaire thaïlandaise de PATTAYA. Pour pouvoir s’y rendre à moindre coût, les deux amis ont la folle idée d’inscrire à son insu le nain de leur quartier au championnat du monde de Boxe Thaï des Nains. Mais ce qui devait être pour eux des vacances de rêves va se transformer en l’aventure la plus dingue et périlleuse de leurs vies.",227369,https://fr.web.img2.acsta.net/c_310_420/pictures/16/02/26/19/00/039546.jpg,935495
The Revenant,2016-02-24,Aventure_Western,156,Alejandro González Iñárritu,Twentieth Century Fox France,"Leonardo DiCaprio,Tom Hardy,Domhnall Gleeson",U.S.A.,Anglais,Long-métrage,2015,45,"Dans une Amérique profondément sauvage, Hugh Glass, un trappeur, est attaqué par un ours et grièvement blessé. Abandonné par ses équipiers, il est laissé pour mort. Mais Glass refuse de mourir. Seul, armé de sa volonté et porté par l’amour qu’il voue à sa femme et à leur fils, Glass entreprend un voyage de plus de 300 km dans un environnement hostile, sur la piste de l’homme qui l’a trahi. Sa soif de vengeance va se transformer en une lutte héroïque pour braver tous les obstacles, revenir chez lui et trouver la rédemption.",182266,https://fr.web.img4.acsta.net/c_310_420/o_club-allocine-310x420.png_0_se/pictures/15/11/10/09/30/165611.jpg,1409177
Tempête,2016-02-24,Drame,89,Samuel Collardey,Ad Vitam,"Dominique Leborne,Matteo Leborne,Mailys Leborne",France,Français,Long-métrage,2015,18,"A 36 ans, Dom est marin pêcheur en haute mer et ne rentre que quelques jours par mois à terre. En dépit de ses longues absences, il a la garde de ses deux enfants. Dom fait tout pour être un père à la hauteur. Il rêve même d’avoir sa propre affaire, un petit bateau de pêche à la journée qu’il exploiterait avec son fils. Assez grands pour s’assumer, Mailys et Mattéo n’en sont pas moins deux adolescents qui font leurs propres expériences. L’une d’elles, malheureuse, va forcer Dom à faire un choix entre son métier au grand large et sa vie de famille.",230081,https://fr.web.img2.acsta.net/c_310_420/pictures/16/01/28/17/32/027752.jpg,20466
Aurora,2016-02-24,Drame,83,Rodrigo Sepúlveda,Zootrope Films,"Amparo Noguera,Luis Gnecco,Jaime Vadell",Chili,Espagnol,Long-métrage,2014,8,"Une enseignante, qui n’a jamais pu avoir d’enfants, décide d’adopter un nouveau-né qui a été retrouvé dans une décharge publique. Mais le bébé est mort, il n’a pas d’identité et la justice ne veut pas de précédent.",236404,https://fr.web.img6.acsta.net/c_310_420/pictures/16/02/02/16/09/216515.jpg,37
The Night Before,2016-03-01,Comédie dramatique_Comédie,101,Jonathan Levine,-,"Joseph Gordon-Levitt,Seth Rogen,Anthony Mackie",U.S.A.,Anglais,Long-métrage,2015,48,,227094,https://fr.web.img5.acsta.net/c_310_420/pictures/16/02/11/15/04/584814.jpg,9880536
"Célibataire, mode d'emploi",2016-03-02,Comédie,110,Christian Ditter,Warner Bros. France,"Dakota Johnson,Rebel Wilson,Leslie Mann",U.S.A.,Anglais,Long-métrage,2016,8,"Il y a toutes sortes de manières de vivre en célibataire. Il y a ceux qui s'y prennent bien, ceux qui s'y prennent mal… Et puis, il y a Alice. Robin. Lucy. Meg. Tom. David... À New York, on ne compte plus les âmes en peine à la recherche du partenaire idéal, que ce soit pour une histoire d'amour, un plan drague… ou un mélange des deux ! Entre les flirts par SMS et les aventures d'une nuit, ces réfractaires au mariage ont tous un point commun : le besoin de redécouvrir le sens du mot célibataire dans un monde où l'amour est en constante mutation. Un vent de libertinage souffle de nouveau sur la ville qui ne dort jamais !",191695,https://fr.web.img3.acsta.net/c_310_420/pictures/15/11/24/14/02/360766.jpg,185011
